Distance ,Chordata, Echinodermata,Bryozoan, Mollusca ,Arthropod,Cnidaria, Porifera
0.5,16,16,6,18,27,16,5
1.5,578,232,121,367,567,162,115
2.5,197,58,19,141,189,49,19
3.5,208,64,22,156,192,48,22
4.5,546,118,49,447,485,105,65
5.5,1228,329,296,1434,1499,348,213
6.5,976,159,75,790,728,191,99
7.5,575,106,34,478,389,134,30
8.5,417,63,19,310,248,150,17
9.5,318,65,19,194,164,77,19
10.5,224,61,4,120,103,83,11
11.5,172,23,6,73,94,44,15
12.5,131,30,0,56,73,45,9
13.5,96,9,0,38,47,20,4
14.5,71,9,0,44,35,13,0
15.5,61,13,1,28,16,26,4
16.5,54,8,0,21,22,16,2
17.5,51,9,0,14,18,16,1
18.5,52,5,1,10,20,13,3
19.5,108,3,2,12,14,9,2
20.5,23,4,0,10,15,6,1
