Distance ,Chordata, Echinodermata,Bryozoan, Mollusca ,Arthropod,Cnidaria, Porifera
-1.9,1,0,0,1,1,0,0
-1.7,0,0,0,1,1,1,0
-1.5,1,0,0,1,3,0,0
-1.3,5,0,0,2,0,1,0
-1.1,47,6,3,17,22,10,4
-0.9,278,23,0,98,67,44,21
-0.7,136,15,0,78,47,34,7
-0.5,131,15,0,70,67,12,4
-0.3,241,26,11,156,115,25,15
-0.1,503,95,40,394,385,103,55
0.1,1940,396,263,2012,1968,468,264
0.3,1514,324,158,1108,1035,451,125
0.5,680,182,60,387,493,206,56
0.7,425,110,39,231,335,114,24
0.9,203,122,77,186,316,74,48
1.1,112,67,21,62,112,40,35
1.3,64,23,3,24,52,18,3
1.5,46,10,0,12,23,7,4
1.7,26,12,0,7,15,7,4
1.9,22,4,1,6,15,16,3
