Var1,Var2,Var3,Var4,Var5,Var6,Var7
Abyssorchomene abyssorum,0.5894253,1.853104,0.001388246,0.4807692,40,Arthropoda
Abyssorchomene charcoti,0.9724345,1.008197,-0.001,0.4923077,34,Arthropoda
Abyssorchomene chevreuxi,0.4444669,1.70997,-0.001,0.1538461,27,Arthropoda
Abyssorchomene distinctus,0.08265448,6.967342,0,0.2666667,23,Arthropoda
Abyssorchomene nodimanus,0.8519433,1,0.01668831,0.5384616,37,Arthropoda
Abyssorchomene scotianensis,NaN,NaN,0,0.7857143,42,Arthropoda
Acanthacaris caeca,0.3078188,9.046609,0,0.4135802,136,Arthropoda
Acanthephyra acutifrons,0.7697588,8.842736,0,0.3290322,69,Arthropoda
Acanthephyra armata,1.897699,2.000303,-0.001,0.5213675,116,Arthropoda
Acanthephyra brevirostris,-0.232888,8.12687,0.01280041,0.4335665,50,Arthropoda
Acanthephyra cucullata,1.727345,1.735664,0,0.2388059,23,Arthropoda
Acanthephyra curtirostris,0.7829112,12.57721,0.03782396,0.487524,189,Arthropoda
Acanthephyra eximia,0.8435358,7.821698,0.01720043,0.6224899,449,Arthropoda
Acanthephyra indica,0.06389929,6.546216,0,0.4857143,26,Arthropoda
Acanthephyra kingsleyi,1.315072,19.47548,0.02101614,0.4261682,142,Arthropoda
Acanthephyra media,1.390372,9.800648,0,0.3358778,37,Arthropoda
Acanthephyra pelagica,0.1846645,14.909,0.059082,0.7885402,3732,Arthropoda
Acanthephyra purpurea,0.2092039,17.17262,0.09967376,0.8285714,991,Arthropoda
Acanthephyra quadrispinosa,0.5125004,13.28524,0,0.6893939,497,Arthropoda
Acanthephyra sanguinea,1.832675,5.65235,0.01663261,0.1432665,70,Arthropoda
Acanthephyra sica,0.03302058,8.009978,0,0.3089431,27,Arthropoda
Acanthephyra tenuipes,-0.4144539,9.716211,0,0.5833334,14,Arthropoda
Acanthilia intermedia,0.499456,12.41786,0,0.7457627,169,Arthropoda
Acanthohaustorius bousfieldi,0.1707624,6.681964,0,0.7307692,34,Arthropoda
Acanthohaustorius intermedius,0.05732723,5.640872,0,0.7654321,94,Arthropoda
Acanthohaustorius millsi,0.008571316,5.188706,0,0.8470588,420,Arthropoda
Acanthohaustorius pansus,-0.7696347,2.080474,0.07874262,0.5306122,39,Arthropoda
Acanthohaustorius shoemakeri,0.0203518,5.224598,0,0.7894737,123,Arthropoda
Acanthohaustorius similis,0.1026893,5.27518,0,0.6944444,76,Arthropoda
Acanthohaustorius spinosus,0.2045912,5.810881,0,0.6405228,71,Arthropoda
Acantholithodes hispidus,0.5180822,4.293643,0,0.6666666,41,Arthropoda
Acanthomysis longicornis,0.02675659,5.267896,0.002113933,0.7264574,430,Arthropoda
Acanthomysis stelleri,0.88754,1.364554,0.08629916,0.6976744,25,Arthropoda
Acanthonotozoma cristatum,1.013199,1.065231,0.06898341,0.6829268,138,Arthropoda
Acanthonotozoma inflatum,0.8350559,1,0.05606585,0.6280992,77,Arthropoda
Acanthonotozoma rusanovae,0.7378178,1.323036,0.07087096,0.3571429,13,Arthropoda
Acanthonotozoma serratum,0.408536,4.18946,0.05027245,0.6415094,156,Arthropoda
Acanthonotozomoides oatesi,0.924426,1.000478,0.02803788,0.5925926,28,Arthropoda
Acanthonyx dentatus,0.07646486,5.512053,0,0.6666666,30,Arthropoda
Acanthoscina acanthodes,1.415244,1.169487,0.05671299,0.2857143,21,Arthropoda
Acanthosquilla derijardi,0.1034404,6.153536,0,0.8571429,28,Arthropoda
Acanthosquilla multifasciata,0.2381659,8.026988,0,0.84,75,Arthropoda
Acanthostepheia behringiensis,0.4754406,2.277865,0.009370008,0.6466166,104,Arthropoda
Acanthostepheia malmgreni,0.7918629,1.30665,0.03818221,0.7848101,293,Arthropoda
Acartia (Acanthacartia) bifilosa,-0.003467078,5.817259,0,0.6692914,18579,Arthropoda
Acartia (Acanthacartia) fossae,0.3911149,11.47987,0,0.6871166,196,Arthropoda
Acartia (Acanthacartia) tumida,0.9536204,1.833831,0.09577891,0.7666667,452,Arthropoda
Acartia (Acartia) danae,0.4557708,14.46279,0,0.8641976,4601,Arthropoda
Acartia (Acartia) negligens,0.5628604,17.3583,0,0.8934426,5926,Arthropoda
Acartia (Acartiura) clausi,-0.07475959,14.6115,0.02608542,0.8341811,36373,Arthropoda
Acartia (Acartiura) ensifera,0.0005562855,6.181593,0.09954853,0.6393443,127,Arthropoda
Acartia (Acartiura) hudsonica,0.08869024,5.355133,-0.001,0.7486631,465,Arthropoda
Acartia (Acartiura) longiremis,0.1799546,6.680829,-0.0006264066,0.8699422,38529,Arthropoda
Acartia (Acartiura) omorii,0.09826833,5.911225,0,0.6837606,1609,Arthropoda
Acartia (Acartiura) simplex,0.08041418,5.989033,0,0.62,107,Arthropoda
Acartia (Odontacartia) amboinensis,0.233028,7.943414,0,0.7878788,130,Arthropoda
Acartia (Odontacartia) australis,0.03182994,5.679898,0,0.6666666,207,Arthropoda
Acartia (Odontacartia) erythraea,0.2770332,11.80728,0,0.85,2493,Arthropoda
Acartia (Odontacartia) spinicauda,0.3841515,10.9674,0,0.7586207,153,Arthropoda
Acasta cyathus,0.1305572,6.733893,0,0.7317073,68,Arthropoda
Accalathura crenulata,0.2532749,8.003208,-0.001,0.7303371,239,Arthropoda
Accalathura gigantissima,0.8438876,1.566073,0.07488014,0.4,42,Arthropoda
Accalathura sladeni,-0.4912439,5.009172,0.09999824,0.4748858,13,Arthropoda
Aceroides (Aceroides) latipes,0.7374164,1.360414,0.07479214,0.6578947,292,Arthropoda
Achaeus brevirostris,-0.4186018,3.916967,0.05175094,0.5555556,24,Arthropoda
Achaeus curvirostris,0.1663616,7.266525,0,0.6467066,77,Arthropoda
Achaeus tuberculatus,0.002040857,5.637788,0,0.686747,63,Arthropoda
Achelia borealis,0.4826962,2.142375,0.03123811,0.3188406,12,Arthropoda
Achelia communis,0.9716341,1.004908,0.002479865,0.6478873,94,Arthropoda
Achelia echinata,0.08218575,5.392221,0,0.7741935,2523,Arthropoda
Achelia hoekii,0.6174784,1.679942,0.02677789,0.5925926,34,Arthropoda
Achelia laevis,0.1877198,5.218773,0,0.8,61,Arthropoda
Achelia parvula,-1.02032,14.7573,0,0.4545454,26,Arthropoda
Achelia spicata,0.8948871,1,0.06129791,0.7941176,358,Arthropoda
Achelia spinosa,0.9235419,3.613378,0.09886324,0.5745857,145,Arthropoda
Achelia sufflata,NaN,NaN,0,0.7333333,20,Arthropoda
Achelous binoculus,0.3754415,10.02735,0,0.5755396,29,Arthropoda
Achelous depressifrons,0.1344926,6.4255,0,0.6829268,92,Arthropoda
Achelous floridanus,0.2272071,7.403899,0,0.7222222,73,Arthropoda
Achelous ordwayi,0.2975115,8.87923,0,0.8064516,426,Arthropoda
Achelous spinicarpus,0.3130221,9.690401,0,0.8842105,967,Arthropoda
Acidostoma neglectum,0.1421822,5.424837,0,0.8181818,93,Arthropoda
Acidostoma obesum,0.2392271,5.751133,0,0.8535032,783,Arthropoda
Acrenhydrosoma perplexum,0.8236037,4.917087,0.08986268,0.5695364,72,Arthropoda
Acrocalanus andersoni,0.5703586,14.46524,0,0.6771654,42,Arthropoda
Acrocalanus gibber,0.2794407,11.62434,0,0.8333333,9767,Arthropoda
Acrocalanus gracilis,0.2648382,10.79302,0,0.754717,3224,Arthropoda
Acrocalanus longicornis,0.3777788,18.35384,0.09650609,0.7297298,2082,Arthropoda
Acrocalanus monachus,0.7564344,22.8333,0,0.9090909,623,Arthropoda
Actaea peronii,0.03534932,5.413052,-0.001,0.5934066,156,Arthropoda
Actaeomorpha erosa,0.2170508,6.427161,0,0.5384616,17,Arthropoda
Actinocythereis subquadrata,0.08785687,6.182204,0,0.7642276,36,Arthropoda
Actumnus setifer,0.1620245,7.452184,0,0.7887324,195,Arthropoda
Actumnus squamosus,0.1513825,6.867926,0,0.6969697,275,Arthropoda
Acutiserolis neaera,0.6184057,2.438567,0,0.6666666,15,Arthropoda
Adajinoperus tetanomorphus,-0.2416983,5.451128,0.02107113,0.5,14,Arthropoda
Aega angustata,-0.0757436,6.122482,0.08814406,0.6212121,26,Arthropoda
Aega bicarinata,0.3538438,4.113872,0,0.6060606,23,Arthropoda
Aega semicarinata,1.133051,1.350737,0.07263643,0.4227642,17,Arthropoda
Aegaeon cataphractus,-0.218231,6.534246,0.04196251,0.7490637,353,Arthropoda
Aegaeon lacazei,0.4829195,8.547601,0,0.6851852,542,Arthropoda
Aegaeon rathbuni,0.1219984,6.459604,0,0.4779874,119,Arthropoda
Aegapheles alazon,0.04961866,5.416468,0,0.4833333,21,Arthropoda
Aegapheles antillensis,0.3570243,8.749735,0,0.5333333,28,Arthropoda
Aeginella spinosa,0.2107853,4.149774,0.02348614,0.5921053,63,Arthropoda
Aeginina longicornis,0.2914849,7.089636,0,0.8533334,1256,Arthropoda
Aeginoides gaussi,0.987757,1.060446,0.05467251,0.635514,147,Arthropoda
Aegiochus antarctica,0.1580377,6.489806,0.01296394,0.779661,62,Arthropoda
Aegiochus coroo,-0.230652,5.625625,0.09817374,0.4909091,19,Arthropoda
Aegiochus glacialis,0.6139237,2.357383,0,0.6534654,29,Arthropoda
Aegiochus gracilipes,0.921836,1.912243,-0.000146025,0.4042553,20,Arthropoda
Aegiochus ventrosa,1.026502,1.510537,0.09716196,0.452381,23,Arthropoda
Aegisthus mucronatus,0.233244,8.109807,0,0.6476868,206,Arthropoda
Aepinus septemspinosus,0.510767,11.78878,0,0.6818182,42,Arthropoda
Aetideopsis antarctica,0.5339447,2.0247,0.001043042,0.4927536,41,Arthropoda
Aetideopsis minor,0.8760104,1.185629,0.07487358,0.6375,226,Arthropoda
Aetideopsis multiserrata,1.059752,1.379183,0.07779486,0.4803922,91,Arthropoda
Aetideopsis rostrata,0.2211953,4.459988,-0.001,0.5888889,430,Arthropoda
Aetideopsis tumorosa,0.2831625,5.584549,0,0.6796117,35,Arthropoda
Aetideus acutus,0.4588119,11.66972,0,0.7310925,197,Arthropoda
Aetideus armatus,0.5865976,16.14421,0,0.8333333,5016,Arthropoda
Aetideus australis,0.3918098,3.924999,0.01754639,0.5454545,109,Arthropoda
Aetideus bradyi,-0.9065874,4.059277,0.09219985,0.3555555,69,Arthropoda
Aetideus divergens,1.367679,3.038176,0,0.635514,19,Arthropoda
Aetideus giesbrechti,0.3135436,9.990468,0,0.8561404,881,Arthropoda
Aetideus pseudarmatus,0.1312384,5.952447,0.05746629,0.6233766,25,Arthropoda
Afrophila punctata,-0.2462829,5.372483,0.09837763,0.6728972,13,Arthropoda
Agaricochirus alexandri,0.0752462,7.237824,0,0.6756757,18,Arthropoda
Agathotanais ingolfi,0.08257496,5.21914,0.04446635,0.7346939,129,Arthropoda
Agetus flaccus,0.1853285,7.621722,0,0.9082569,1120,Arthropoda
Agetus limbatus,0.2021261,7.28389,0,0.8777778,684,Arthropoda
Agetus typicus,0.113819,6.336885,0,0.8864865,1140,Arthropoda
Agolambrus agonus,0.3886426,10.16195,0,0.8245614,452,Arthropoda
Agononida analoga,1.078002,16.1333,0.06842434,0.3658537,51,Arthropoda
Agononida callirrhoe,0.2021788,6.669575,0,0.3833333,74,Arthropoda
Agononida eminens,2.003399,1.18089,-0.0003789701,0.3695652,87,Arthropoda
Agononida longipes,0.3462037,8.917262,0,0.592233,211,Arthropoda
Agononida longispinata,-0.6760719,32.26431,-0.001,0.2689075,18,Arthropoda
Agononida marini,0.1752556,5.983837,0,0.3636364,67,Arthropoda
Agononida nielbrucei,0.6242443,4.317613,0.04139659,0.4466019,43,Arthropoda
Agononida normani,0.3034655,8.887108,0,0.3054546,61,Arthropoda
Agononida ocyrhoe,0.07146553,7.046518,0.02086528,0.3510638,74,Arthropoda
Agononida procera,1.759324,3.335278,0,0.32,28,Arthropoda
Agononida rubrizonata,0.052637,6.239553,0,0.3980582,68,Arthropoda
Agononida sabatesae,0.2873219,6.007415,0.03484667,0.3287671,46,Arthropoda
Agononida similis,0.5687364,15.13792,0,0.3898305,34,Arthropoda
Agononida sphecia,0.1567397,6.551142,0.01267215,0.3687151,121,Arthropoda
Agononida squamosa,0.8680469,14.55512,0.06429032,0.5388601,183,Arthropoda
Agononida variabilis,-2.293108,1.000783,0.07826555,0.1818182,16,Arthropoda
Agrenocythere hazeli,1.040876,3.059676,0.08835188,0.2121212,39,Arthropoda
